SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
22.04.2020 09:55:14.530;22.04.2020 00:00:00.000;101.76;4017;7626;;;;;;
22.04.2020 09:55:21.969;22.04.2020 00:00:00.000;101.76;4017;7636;;;;;;
22.04.2020 09:55:54.649;22.04.2020 00:00:00.000;101.76;4067;7636;;;;;;
22.04.2020 09:56:08.746;22.04.2020 00:00:00.000;101.76;4067;7686;;;;;;
22.04.2020 09:56:10.559;22.04.2020 00:00:00.000;101.76;4367;7686;;;;;;
22.04.2020 09:56:15.748;22.04.2020 00:00:00.000;101.76;4367;7736;;;;;;
22.04.2020 09:56:17.374;22.04.2020 00:00:00.000;101.76;4407;7736;;;;;;
22.04.2020 09:56:23.563;22.04.2020 00:00:00.000;101.76;4523;7736;;;;;;
22.04.2020 09:56:27.032;22.04.2020 00:00:00.000;101.76;4523;7738;;;;;;
22.04.2020 09:56:27.673;22.04.2020 00:00:00.000;101.76;4523;7788;;;;;;
22.04.2020 09:56:32.081;22.04.2020 00:00:00.000;101.76;4823;7788;;;;;;
22.04.2020 09:56:34.895;22.04.2020 00:00:00.000;101.76;4823;7838;;;;;;
22.04.2020 09:56:35.645;22.04.2020 00:00:00.000;101.76;4523;7838;;;;;;
22.04.2020 09:56:35.707;22.04.2020 00:00:00.000;101.76;4523;7839;;;;;;
22.04.2020 09:56:38.380;22.04.2020 00:00:00.000;101.76;4523;12839;;;;;;
22.04.2020 09:56:44.459;22.04.2020 00:00:00.000;101.76;4523;13039;;;;;;
22.04.2020 09:56:49.648;22.04.2020 00:00:00.000;101.76;4523;13539;;;;;;
22.04.2020 09:56:53.899;22.04.2020 00:00:00.000;101.76;4823;13539;;;;;;
22.04.2020 09:56:59.760;22.04.2020 00:00:00.000;101.76;4973;13539;;;;;;
22.04.2020 09:57:01.370;22.04.2020 00:00:00.000;101.76;4973;13689;;;;;;
22.04.2020 09:57:01.948;22.04.2020 00:00:00.000;101.76;4973;13694;;;;;;
22.04.2020 09:57:07.371;22.04.2020 00:00:00.000;101.76;4993;13694;;;;;;
22.04.2020 09:57:15.092;22.04.2020 00:00:00.000;101.76;4993;16695;;;;;;
22.04.2020 09:57:20.797;22.04.2020 00:00:00.000;101.76;6993;16695;;;;;;
22.04.2020 09:57:32.800;22.04.2020 00:00:00.000;101.76;6993;16735;;;;;;
22.04.2020 09:57:33.159;22.04.2020 00:00:00.000;101.76;6893;16735;;;;;;
22.04.2020 09:57:33.878;22.04.2020 00:00:00.000;101.76;7043;16735;;;;;;
22.04.2020 09:57:37.254;22.04.2020 00:00:00.000;101.76;7043;16785;;;;;;
22.04.2020 09:57:39.051;22.04.2020 00:00:00.000;101.76;7043;16786;;;;;;
22.04.2020 09:57:41.130;22.04.2020 00:00:00.000;101.76;7093;16786;;;;;;
22.04.2020 09:57:44.865;22.04.2020 00:00:00.000;101.76;7094;16786;;;;;;
22.04.2020 09:57:47.397;22.04.2020 00:00:00.000;101.76;7094;16787;;;;;;
22.04.2020 09:57:53.570;22.04.2020 00:00:00.000;101.76;7114;16787;;;;;;
22.04.2020 09:57:55.227;22.04.2020 00:00:00.000;101.76;7115;16787;;;;;;
22.04.2020 09:58:18.264;22.04.2020 00:00:00.000;101.76;7115;16937;;;;;;
22.04.2020 09:58:20.546;22.04.2020 00:00:00.000;101.76;7115;16987;;;;;;
22.04.2020 09:58:21.374;22.04.2020 00:00:00.000;101.76;7115;17030;;;;;;
22.04.2020 09:58:31.267;22.04.2020 00:00:00.000;101.76;7115;17430;;;;;;
22.04.2020 09:58:41.067;22.04.2020 00:00:00.000;101.76;7515;17430;;;;;;
22.04.2020 09:58:44.005;22.04.2020 00:00:00.000;101.76;7525;17430;;;;;;
